Model name,Pricing
三星手机SM-W2016/SM-W2017/SM-G9198/SM-W2015 4G手机 三星W2017 尊贵金 ,¥12400.00
三星（SAMSUNG）Galaxy S8 移动联通4G 曲屏防水手机 5.8寸大屏幕 幻紫灰 4GB+64GB 标配版 ,¥7888.00
三星 Galaxy C5000 全网通 4G手机 三星 C5000 金色 64G全网通 ,¥1805.00
三星 G6100 全网通 4G手机 三星G6100 金色 5.5寸 32G全网通 ,¥1415.00
全球购 三星/Samsung E329老款电信版老人机天翼CDMA直板大声大屏3G手机 黑色 官方标配 ,¥399.00
三星 （SAMSUNG）Galaxy S8 5.8寸曲屏 移动联通4G 智能手机 枫叶金 4GB+64GB 标配版 ,¥6599.00
三星(SAMSUNG) Galaxy C5 C5000 4G手机 双卡双待 电信联通 灰色 64GB ,¥2088.00
三星 C7000 全网通 4G手机 三星 C7000 粉 5.7寸 全网通32G ,¥1965.00
全球购 三星(SAMSUNG) Galaxy C9 Pro (C9000) 4G全网通手机 蔷薇粉 6G+64G ,¥3199.00
SAMSUNG 三星 Galaxy S8 5.8寸曲面屏 面部识别虹膜 智能手机 珊瑚蓝 64G 港行（现货） ,¥7199.00
三星 Galaxy C5（SM-C5000）移动联通电信 全网通4G手机 双卡双待 枫叶金 标配版4G(4G RAM+32G ROM) ,¥1649.00
三星 2016版 Galaxy On5（G5700） 全网通4G手机 钛岩黑 (3G RAM+32G ROM) 标配 ,¥1126.00
三星 Galaxy C7（SM-C7000） 移动联通电信 全网通4G手机 双卡双待 枫叶金 标准版(4GB RAM+32GB ROM) ,¥1998.00
三星 Galaxy C9 Pro（C9000）手机 墨玉黑 全网通4G(6G RAM+64G ROM)标配 ,¥2788.00
三星 Galaxy ON5 时尚版 (G5520) 全网通4G 智能手机 金色 (2G RAM +16G ROM) 标配 ,¥858.00
三星 Galaxy A7 (SM-A7000) 移动联通4G手机 双卡双待 雪域白 移动联通4G ,¥1268.00
三星 Galaxy S7 edge (G9350) 4G手机 双卡双待 珊瑚蓝 全网通(4GRAM+32GROM)标配 ,¥4288.00
三星 Galaxy S7 （G9300）移动联通电信 4G手机 双卡双待 铂光金 全网通(4GB RAM+32GB ROM)标配 ,¥3499.00
三星(SAMSUNG) J3 Pro (J3110) 移动联通4G手机 双卡双待 金色 移动联通4G ( J3110 ) ,¥759.00
三星(SAMSUNG) Galaxy S7 edge (G9350) 4G手机 双卡双待 星钻黑 全网通(4G RAM+32G ROM)标配 ,¥4288.00
三星 2016版 Galaxy On5(G5510) 双卡双待 手机 流沙金 全网通青春版(2G RAM+16G ROM) ,¥788.00
三星 2016版 Galaxy On5 （G5700）32G 全网通 4G手机 双卡双待 流沙金 全网通(3GB RAM+32GB ROM) ,¥1199.00
三星 W2016 金色 电信4G手机 双卡双待单通*,¥10999.00
三星Galaxy C9 Pro 手机 墨玉黑 全网通(6GRAM+64G ROM) ,¥3199.00
三星 Galaxy A9 (SM-A9100) 移动联通电信 4G手机 双卡双待 魔幻金 全网通4G(4GB RAM+32GB ROM)标配 ,¥2199.00
三星 ON5 时尚版 (G5520) 全网通4G 手机 流沙金 全网通(2G RAM +16G ROM) ,¥899.00
